Experiment,Pred std,Target std
query_transformer,3.739924295587116e-06,0.6091282367706299
direct_station,0.1306581050157547,0.6091282367706299
cross fixed targets,0.3432666361331939,0.3904891014099121
graph old,0.0059105660766363,0.6463236212730408
graph prior,0.1852549016475677,0.6463236212730408
graph random prior,0.1719901412725448,0.5561678409576416
