station_code,station_lat,station_lon,input_source,query_radius_km,api_version,vs30_mps,vs30_valid,vs30_source,vs30_mesh_code,vs30_jcode,vs30_query_distance_km,arv,status,error,api_url
KNG007,35.3382,139.4926,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,243.4,1,j-shis_meshsearch_avs,5339030932,13,,1.53,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.49260000%2C35.33820000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG008,35.5749,139.3262,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,312.1,1,j-shis_meshsearch_avs,5339228633,9,,1.24,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.32620000%2C35.57490000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG009,35.4425,139.3621,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,199.7,1,j-shis_meshsearch_avs,5339123822,13,,1.81,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.36210000%2C35.44250000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG010,35.3339,139.3446,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,260.6,1,j-shis_meshsearch_avs,5339020721,16,,1.44,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.34460000%2C35.33390000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG011,35.6151,139.1554,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,488.7,1,j-shis_meshsearch_avs,5339313234,9,,0.84,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.15540000%2C35.61510000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG012,35.3793,139.2044,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,338.0,1,j-shis_meshsearch_avs,5339015632,11,,1.15,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.20440000%2C35.37930000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG013,35.2642,139.1521,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,220.9,1,j-shis_meshsearch_avs,5239711231,13,,1.66,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.15210000%2C35.26420000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG014,35.3609,139.0828,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,302.3,1,j-shis_meshsearch_avs,5339003623,10,,1.27,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=139.08280000%2C35.36090000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KNG201,34.5956,139.9183,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,,0,j-shis_meshsearch_avs,,,,,request_failed,HTTP Error 404: Not Found,
KNG202,34.7396,139.8393,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,,0,j-shis_meshsearch_avs,,,,,request_failed,HTTP Error 404: Not Found,
KNG203,34.7983,139.6435,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,,0,j-shis_meshsearch_avs,,,,,request_failed,HTTP Error 404: Not Found,
KNG204,34.8931,139.5711,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,,0,j-shis_meshsearch_avs,,,,,request_failed,HTTP Error 404: Not Found,
