event_id,origin_time_jst_raw,origin_timestamp_raw,training_latitude,training_longitude,training_depth_km,training_magnitude,candidate_count,match_status,accepted,origin_time_jst_corrected,origin_timestamp_corrected,origin_time_correction_s,jma_event_id,jma_origin_time_jst,jma_origin_timestamp,jma_latitude,jma_longitude,jma_depth_km,jma_magnitude,jma_region,jma_source_url,jma_source_date,time_diff_s,abs_time_diff_s,horizontal_distance_km,depth_diff_km,magnitude_diff,match_score,second_match_score,score_margin,second_jma_event_id,second_jma_origin_time_jst,second_time_diff_s,second_horizontal_distance_km,second_depth_diff_km,second_magnitude_diff
20240101163000,2024-01-01T16:30:00+09:00,1704094200.0,37.397,137.187,8.0,3.7,6,matched,1,2024-01-01T16:30:03.000+09:00,1704094203.0,3.0,20240101163003000,2024-01-01T16:30:03.000+09:00,1704094203.0,37.485,137.26166666666666,12.0,3.8,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,3.0,3.0,11.79849420219303,4.0,0.09999999999999964,3.1930321737719383,3.834536805116936,0.6415046313449979,20240101162948400,2024-01-01T16:29:48.400+09:00,-11.599999904632568,8.072684041479262,5.0,0.39999999999999947
20240101163200,2024-01-01T16:32:00+09:00,1704094320.0,37.322,136.972,13.0,4.7,4,matched,1,2024-01-01T16:32:43.000+09:00,1704094363.0,43.0,20240101163243000,2024-01-01T16:32:43.000+09:00,1704094363.0,37.321666666666665,136.97166666666666,13.0,4.7,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,43.0,43.0,0.04735637229911993,0.0,0.0,1.4428046077931573,4.1261045204241515,2.683299912630994,20240101163141300,2024-01-01T16:31:41.300+09:00,-18.700000047683716,5.347189260840134,1.0,0.7000000000000002
20240101163300,2024-01-01T16:33:00+09:00,1704094380.0,37.197,136.638,2.0,4.3,1,matched,1,2024-01-01T16:33:38.200+09:00,1704094418.2,38.200000047683716,20240101163338200,2024-01-01T16:33:38.200+09:00,1704094418.2,37.20666666666666,136.66666666666666,5.0,4.2,能登半島沖,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,38.200000047683716,38.200000047683716,2.7571054289023977,3.0,0.09999999999999964,2.458087754036602,,inf,,,,,,
20240101163500,2024-01-01T16:35:00+09:00,1704094500.0,37.197,136.615,7.0,3.3,1,matched,1,2024-01-01T16:33:38.200+09:00,1704094418.2,-81.79999995231628,20240101163338200,2024-01-01T16:33:38.200+09:00,1704094418.2,37.20666666666666,136.66666666666666,5.0,4.2,能登半島沖,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,-81.79999995231628,81.79999995231628,4.7005576998733005,2.0,0.9000000000000004,6.866778205051871,,inf,,,,,,
20240101163600,2024-01-01T16:36:00+09:00,1704094560.0,37.42,136.807,7.0,4.3,1,matched,1,2024-01-01T16:36:15.600+09:00,1704094575.6,15.599999904632568,20240101163615600,2024-01-01T16:36:15.600+09:00,1704094575.6,37.37166666666667,136.88666666666666,9.0,3.9,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,15.599999904632568,15.599999904632568,8.855175192672387,2.0,0.3999999999999999,3.8243683686888965,,inf,,,,,,
20240101163700,2024-01-01T16:37:00+09:00,1704094620.0,37.265,136.87,14.0,4.6,2,matched,1,2024-01-01T16:37:33.600+09:00,1704094653.6,33.59999990463257,20240101163733600,2024-01-01T16:37:33.600+09:00,1704094653.6,37.315,136.91833333333332,9.0,4.7,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,33.59999990463257,33.59999990463257,7.013776021585766,5.0,0.10000000000000053,3.356088534471574,6.703736027056017,3.3476474925844433,20240101163615600,2024-01-01T16:36:15.600+09:00,-44.40000009536743,11.95201345271885,5.0,0.6999999999999997
20240101163900,2024-01-01T16:39:00+09:00,1704094740.0,37.548,137.442,13.0,5.2,1,matched,1,2024-01-01T16:39:50.300+09:00,1704094790.3,50.299999952316284,20240101163950300,2024-01-01T16:39:50.300+09:00,1704094790.3,37.54833333333333,137.44166666666666,13.0,5.2,能登半島沖,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,50.299999952316284,50.299999952316284,0.04730102758313737,0.0,0.0,1.686126870593837,,inf,,,,,,
20240101164000,2024-01-01T16:40:00+09:00,1704094800.0,37.242,136.823,12.0,4.1,2,matched,1,2024-01-01T16:40:42.100+09:00,1704094842.1,42.09999990463257,20240101164042100,2024-01-01T16:40:42.100+09:00,1704094842.1,37.245,136.82,13.0,4.2,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,42.09999990463257,42.09999990463257,0.4263793573121453,1.0,0.10000000000000053,1.9219425349501833,5.110498620395825,3.188556085445642,20240101164125500,2024-01-01T16:41:25.500+09:00,85.5,0.46915976864579845,5.0,0.49999999999999956
20240101164100,2024-01-01T16:41:00+09:00,1704094860.0,37.24,136.818,7.0,3.6,3,matched,1,2024-01-01T16:41:25.500+09:00,1704094885.5,25.5,20240101164125500,2024-01-01T16:41:25.500+09:00,1704094885.5,37.24,136.81833333333333,7.0,3.6,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,25.5,25.5,0.029507709991928133,0.0,0.0,0.8559015419983856,3.3133630436670165,2.457461501668631,20240101164042100,2024-01-01T16:40:42.100+09:00,-17.90000009536743,0.5834818691071746,6.0,0.6000000000000001
20240101164200,2024-01-01T16:42:00+09:00,1704094920.0,37.447,137.19,12.0,5.0,1,matched,1,2024-01-01T16:42:43.700+09:00,1704094963.7,43.700000047683716,20240101164243700,2024-01-01T16:42:43.700+09:00,1704094963.7,37.446666666666665,137.19,12.0,5.0,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,43.700000047683716,43.700000047683716,0.03706497554879696,0.0,0.0,1.4640796633658832,,inf,,,,,,
