year,event_id,sample_role,knet_station,hinet_station,knet_height_m,match_distance_km,event_magnitude,epicentral_distance_km,acceleration_n_samples,acceleration_finite_fraction,acceleration_contains_theoretical_p,velocity_n_samples,velocity_finite_fraction,velocity_start_minus_p_s,velocity_end_minus_p_s,velocity_median_dt_s,velocity_gap_count,velocity_nonmonotonic_count,velocity_contains_theoretical_p,velocity_covers_requested_window,station_match_distance_km,station_match_threshold_km,station_match_within_threshold,qc_status,qc_fail_reasons,qc_warn_reasons,wave_idx,station_code,sensor_class,station_height_m_hdf5,station_height_m_manifest,record_start_time_jst_hdf5,theoretical_p_time_jst,valid_start_minus_theoretical_p_s,valid_end_minus_theoretical_p_s,p_picks_minus_theoretical_p_s,p_pick_trigger_aligned_minus_theoretical_p_s,p_pick_predicted_aligned_minus_theoretical_p_s,p_pick_repaired_aligned_minus_theoretical_p_s,p_pick_diting_acc_aligned_minus_theoretical_p_s,p_pick_diting_vel_aligned_minus_theoretical_p_s,p_pick_refined_aligned_minus_theoretical_p_s,pga_norm_aligned_loc_minus_theoretical_p_s,archive_checksum_ok,velocity_source,velocity_status,acceleration_pre_p_rms,acceleration_post_p_rms,acceleration_post_pre_ratio,velocity_pre_p_rms_counts,velocity_post_p_rms_counts,velocity_post_pre_ratio,final_pick_minus_theoretical_p_s,velocity_zero_fraction,velocity_unique_fraction,velocity_extreme_repeat_fraction,velocity_min_counts,velocity_max_counts
2004,20040401054100,earliest_closest,IWTH04,N.SMTH,514.0,0.0,3.7,34.93741696117409,13036,1.0,1,24000,1.0,-119.99176359176636,119.99823641777039,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,10,IWTH04,borehole,514.0,514.0,2004-04-01T05:41:16+09:00,2004-04-01T05:41:21.351763+09:00,-5.351763486862183,114.63823652267456,0.18823647499084473,9.648236513137817,-0.02176356315612793,-0.02176356315612793,,0.18823647499084473,0.18823647499084473,8.818236589431763,1,annual_hdf5,loaded,3.5369129438505656e-05,0.0004280446733555015,12.102211169763708,93.04677940635419,17337.980742904674,186.33617255236948,0.18823647499084473,0.0,0.26316666666666666,4.1666666666666665e-05,-108847.0,115461.0
2004,20041024121600,midyear_median,NIGH11,N.KWNH,-40.0,0.0,3.6,20.943842653459587,13658,1.0,1,24000,1.0,-119.99138236045837,119.99861764907837,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,7,NIGH11,borehole,-40.0,-40.0,2004-10-24T12:16:09+09:00,2004-10-24T12:16:19.571382+09:00,-10.571382284164429,109.41861772537231,0.3786177635192871,4.428617715835571,-0.03138232231140137,-0.03138232231140137,0.3786177635192871,0.3786177635192871,0.3786177635192871,4.958617687225342,1,annual_hdf5,loaded,9.865725816639095e-05,0.000833960086920876,8.453104236024439,372.0165743336544,38806.490325743194,104.31387471177135,0.3786177635192871,0.000125,0.552875,4.1666666666666665e-05,-160359.0,135167.0
2004,20041231173000,latest_farthest,KSRH07,N.TRSH,-184.0,0.0137653417971215,4.3,401.23842871379446,17815,1.0,0,24000,1.0,-119.99488949775696,119.99511051177979,0.009999990463256836,0,0,1,1,0.0137653417971215,0.5,1,FAIL,theoretical_P_outside_acc_record,,40,KSRH07,borehole,-184.0,-184.0,2004-12-31T17:31:42+09:00,2004-12-31T17:31:18.144890+09:00,23.85511040687561,143.84511041641235,26.405110359191895,38.85511040687561,-0.03488969802856445,23.85511040687561,,26.405110359191895,26.405110359191895,37.97511029243469,1,annual_hdf5,loaded,0.0,5.310322588063026e-05,,1017.7000628351838,2146.4426594561833,2.109111257669048,26.405110359191895,4.1666666666666665e-05,0.35075,4.1666666666666665e-05,-28609.0,31810.0
2005,20050101051400,earliest_closest,AKTH06,N.OGCH,185.0,0.0,5.0,248.01264997466544,15692,1.0,1,24000,1.0,-119.99532437324524,119.9946756362915,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,34,AKTH06,borehole,185.0,185.0,2005-01-01T05:14:17+09:00,2005-01-01T05:14:24.915324+09:00,-7.915324449539185,112.07467555999756,-0.3153245449066162,7.084675550460815,-0.01532435417175293,-0.01532435417175293,-0.3153245449066162,-0.3153245449066162,-0.3153245449066162,28.654675483703613,1,annual_hdf5,loaded,2.4835602915370426e-05,0.0006420443104613098,25.85177064753105,132.93794159602996,50568.33400032409,380.3905295449095,-0.3153245449066162,0.0,0.4861666666666667,4.1666666666666665e-05,-226335.0,281394.0
2005,20050512042300,midyear_median,MYZH13,N.MJSH,152.0,0.0,4.5,96.5720305909346,14094,1.0,1,24000,1.0,-119.99071383476257,119.99928617477417,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,40,MYZH13,surface,152.0,152.0,2005-05-12T04:23:06+09:00,2005-05-12T04:23:06.930714+09:00,-0.9307138919830322,119.05928611755371,-0.04071378707885742,14.069286108016968,-0.0007138252258300781,-0.0007138252258300781,-0.14071393013000488,-0.04071378707885742,-0.04071378707885742,15.52928614616394,1,annual_hdf5,loaded,0.0,0.001507135717508167,,256.88254125183363,41507.306790339135,161.58087890312342,-0.04071378707885742,8.333333333333333e-05,0.480875,4.1666666666666665e-05,-176957.0,124644.0
2005,20051231233200,latest_farthest,TCGH16,N.HGAH,105.0,0.0,4.1,69.26070897634821,13918,1.0,1,24000,1.0,-119.99660015106201,119.99339985847473,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,40,TCGH16,surface,105.0,105.0,2005-12-31T23:32:41+09:00,2005-12-31T23:32:42.176600+09:00,-1.1766002178192139,118.81339979171753,0.21339988708496094,13.823399782180786,0.0033998489379882812,0.0033998489379882812,0.22339987754821777,0.21339988708496094,0.21339988708496094,14.953399896621704,1,annual_hdf5,loaded,4.438030894000157e-06,0.0014746174049538935,332.26839564083514,189.55689605526163,28815.62935162097,152.0157269468072,0.21339988708496094,0.0,0.42845833333333333,4.1666666666666665e-05,-130611.0,138285.0
2006,20060101163300,earliest_closest,HRSH16,N.YSHH,180.0,0.0,3.0,22.40233422307401,12700,1.0,1,24000,1.0,-119.9931709766388,119.99682903289795,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,1,HRSH16,borehole,180.0,180.0,2006-01-01T16:33:30+09:00,2006-01-01T16:33:41.383171+09:00,-11.383171081542969,108.60682892799377,0.006829023361206055,3.6168289184570312,-0.013171195983886719,-0.013171195983886719,0.01682901382446289,0.006829023361206055,0.006829023361206055,2.9768288135528564,1,annual_hdf5,loaded,3.1051326744023424e-05,0.0007158190476909865,23.052768520712664,94.94876457720154,12991.320470298622,136.8245340331475,0.006829023361206055,4.1666666666666665e-05,0.14420833333333333,4.1666666666666665e-05,-299499.0,190666.0
2006,20060610010500,midyear_median,SZOH39,N.NS2H,130.0,0.0,3.1,20.214538102570955,12500,1.0,1,24000,1.0,-119.99846291542053,119.99153709411621,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,2,SZOH39,surface,130.0,130.0,2006-06-10T01:05:25+09:00,2006-06-10T01:05:37.808463+09:00,-12.808462858200073,107.18153715133667,-0.1284627914428711,2.1915371417999268,0.0015370845794677734,0.0015370845794677734,-0.13846278190612793,-0.1284627914428711,-0.1284627914428711,4.2715370655059814,1,annual_hdf5,loaded,5.0216171000898874e-05,0.0022419539824746534,44.64605599727072,350.87953623340366,23039.98606212686,65.66352175864925,-0.1284627914428711,0.000625,0.22491666666666665,4.1666666666666665e-05,-190164.0,168239.0
2006,20061231083000,latest_farthest,CHB025,N.CKRH,74.0,0.0240332655417541,4.9,59.15893522648032,13700,1.0,1,24000,1.0,-119.996413230896,119.99358677864075,0.009999990463256836,0,0,1,1,0.0240332655417541,0.5,1,PASS,,,14,CHB025,single_surface,74.0,74.0,2006-12-31T08:30:05+09:00,2006-12-31T08:30:12.996413+09:00,-7.996413230895996,60.99358677864075,0.4235868453979492,7.003586769104004,-0.00641322135925293,-0.00641322135925293,0.3835868835449219,0.4235868453979492,0.4235868453979492,10.363586664199829,1,annual_hdf5,loaded,1.0707729312327606e-05,0.007310350887051316,682.7171918359056,8581.172289777318,5151649.57416574,600.3433330784954,0.4235868453979492,0.0,0.9177083333333333,4.1666666666666665e-05,-25545297.0,22017043.0
2007,20070101005000,earliest_closest,KGWH05,N.UUMH,-413.0,0.0,3.2,10.49608944553899,13000,1.0,1,24000,1.0,-119.99459266662598,119.99540734291077,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,7,KGWH05,borehole,-413.0,-413.0,2007-01-01T00:49:57+09:00,2007-01-01T00:50:09.654593+09:00,-12.654592752456665,107.33540725708008,-0.044592857360839844,2.345407247543335,-0.07459282875061035,-0.07459282875061035,-0.1445927619934082,-0.044592857360839844,-0.044592857360839844,1.7954072952270508,1,annual_hdf5,loaded,2.754790833790108e-05,0.0007831621257102529,28.42909581751292,82.54612426745999,22848.756878059397,276.79987498900016,-0.044592857360839844,0.0,0.15904166666666666,4.1666666666666665e-05,-286309.0,323573.0
