year,event_id,knet_station,hinet_station,series,seconds_relative_to_theoretical_p,value
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.751763582229614,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.711763381958008,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.6717634201049805,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.631763458251953,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.591763496398926,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.551763534545898,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.511763572692871,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.471763372421265,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.431763410568237,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.39176344871521,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.351763486862183,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.311763525009155,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.271763563156128,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.231763601303101,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.191763401031494,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.151763439178467,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.1117634773254395,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.071763515472412,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-7.031763553619385,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.991763591766357,0.0
