model,series,n,first,last,mean_last10,min,max
b41_clean_stationctx,diag_pga_mu_best_valid_std,150,0.0011593721574172378,5.355665848583158e-07,5.635217917188128e-07,0.0,0.0023122236598283052
b41_clean_stationctx,diag_pga_point_mu_std,150,0.0011372629087418318,5.594287131316378e-07,6.891049451951403e-07,0.0,0.0023096746299415827
b41_clean_stationctx,diag_pga_target_std,150,0.6084460020065308,0.5791608691215515,0.586335402727127,0.5298373103141785,0.6734939217567444
b41_clean_stationctx,diag_station_emb_norm,150,34.57472229003906,34.350494384765625,34.37408180236817,33.519554138183594,35.6618766784668
b41_clean_stationctx,diag_station_emb_cosine_mean,150,0.7399812936782837,0.7657691240310669,0.7724124550819397,0.7365975975990295,0.7870021462440491
b41_clean_stationctx,diag_station_context_emb_norm,150,12.484061241149902,10.467772483825684,10.47346739768982,7.488354206085205,16.268247604370117
b41_clean_stationctx,diag_station_context_delta_norm,150,26.60578155517578,34.37679672241211,34.388192367553714,26.60578155517578,39.222618103027344
b41_clean_stationctx,diag_station_context_cosine_mean,150,0.7801487445831299,1.0,1.0,0.7801487445831299,1.0
b47_strong_stationctx,diag_pga_mu_best_valid_std,150,0.001023168908432126,4.190032268525101e-05,4.115670089959167e-05,3.009405418197275e-07,0.12331562489271164
b47_strong_stationctx,diag_pga_point_mu_std,150,0.001004354446195066,4.155884016654454e-05,4.066267611051444e-05,3.2678082106940565e-07,0.12468313425779343
b47_strong_stationctx,diag_pga_target_std,150,0.6084460020065308,0.5791608691215515,0.586335402727127,0.5298373103141785,0.6734939217567444
b47_strong_stationctx,diag_station_emb_norm,150,34.50345993041992,33.85877227783203,33.92035026550293,33.3278694152832,35.4986572265625
b47_strong_stationctx,diag_station_emb_cosine_mean,150,0.742702305316925,0.740447998046875,0.748808991909027,0.7335925102233887,0.7774158120155334
b47_strong_stationctx,diag_station_context_emb_norm,150,12.484061241149902,10.434515953063965,10.439857673645019,7.49109411239624,16.285289764404297
b47_strong_stationctx,diag_station_context_delta_norm,150,26.427438735961914,36.00400161743164,35.960868453979494,26.427438735961914,41.1113395690918
b47_strong_stationctx,diag_station_context_cosine_mean,150,0.7831587791442871,1.0,1.0,0.7831587791442871,1.0
b43_stable_no_stationctx,diag_pga_mu_best_valid_std,150,0.0025481644552201033,0.5699289441108704,0.5766819179058075,0.0025481644552201033,0.6737183928489685
b43_stable_no_stationctx,diag_pga_point_mu_std,150,0.0026238502468913794,0.6012837290763855,0.6314090847969055,0.0026238502468913794,0.7745212316513062
b43_stable_no_stationctx,diag_pga_target_std,150,0.6084460020065308,0.5791608691215515,0.586335402727127,0.5298373103141785,0.6734939217567444
b43_stable_no_stationctx,diag_station_emb_norm,150,34.50362014770508,33.29650115966797,33.25800819396973,32.66911315917969,35.27723693847656
b43_stable_no_stationctx,diag_station_emb_cosine_mean,150,0.742117166519165,0.7273951172828674,0.7286687850952148,0.7111296653747559,0.7590606808662415
