model,bin,label_min,label_max,n,label_mean,pred_mean,mae,bias,rmse,slope,corr,pred_std,label_std
b29_last,<-2.2,-inf,-2.2,149,-2.5281890206689,-1.8707731446163767,0.6656224099581673,0.6574158760525236,0.805566355408583,-0.07687099933429326,-0.03229544614874308,0.4243483177937593,0.17827943391265857
b29_last,"[-2.2,-1.8)",-2.2,-1.8,126,-1.9806071746916998,-1.5475989887638697,0.4532974177882785,0.43300818592783,0.5384087476690204,0.9117564077138578,0.31328729125947063,0.33677173142918254,0.11571764412027283
b29_last,"[-1.8,-1.4)",-1.8,-1.4,233,-1.5988818760081933,-1.3015168355258238,0.3914116597994203,0.2973650404823696,0.46476637813602373,0.604300276779878,0.17576316097045966,0.36037989902868883,0.10481794008274184
b29_last,"[-1.4,-1.2)",-1.4,-1.2,101,-1.3005655661667928,-1.049519375999375,0.3302631378173828,0.25104619016741764,0.3851175581016872,0.6837841561174202,0.13511445317662082,0.29416533425167835,0.058126512475244724
b29_last,"[-1.2,-1.0)",-1.2,-1.0,60,-1.116614286104838,-1.1459002604087194,0.26791030665238696,-0.029285974303881326,0.3647116801580629,1.209733953477076,0.19280471202037744,0.3702705354371603,0.05901289597551677
b29_last,"[-1.0,-0.6)",-1.0,-0.6,64,-0.846550271846354,-0.9625243796035647,0.22070899792015553,-0.11597410775721073,0.2996135737680517,0.8951881309842409,0.3936197235431474,0.300140485924786,0.13197361649994896
b29_last,>=-0.6,-0.6,inf,24,-0.3887496345208395,-0.819890300432841,0.449665824277569,-0.43114066591200145,0.5233116511643852,0.26799497817609946,0.18983612427831997,0.2671303982038153,0.18922369298507608
b43_last,<-2.2,-inf,-2.2,149,-2.5281890206689,-2.127239856143926,0.4214179243817425,0.4009491645249744,0.5316924549978453,0.22730345902848378,0.12529596478934713,0.3234224826802466,0.17827943391265857
b43_last,"[-2.2,-1.8)",-2.2,-1.8,126,-1.9806071746916998,-1.842717915300339,0.22839154989000351,0.13788925939136082,0.3111005656976757,1.014827066889336,0.388100332374331,0.3025851502148508,0.11571764412027283
b43_last,"[-1.8,-1.4)",-1.8,-1.4,233,-1.5988818760081933,-1.5471553477606548,0.2255396451561236,0.05172652824753855,0.2921827296869731,0.44406590268416374,0.16307776254812065,0.28542256438306546,0.10481794008274184
b43_last,"[-1.4,-1.2)",-1.4,-1.2,101,-1.3005655661667928,-1.3518688365964606,0.21915757124966914,-0.05130327042966786,0.27825571290402434,0.9633202897799441,0.20058868566182422,0.27915058447489954,0.058126512475244724
b43_last,"[-1.2,-1.0)",-1.2,-1.0,60,-1.116614286104838,-1.3412853171428045,0.2952298790216446,-0.2246710310379664,0.37011858666093445,0.844139924593478,0.16706743843686553,0.29817385137942537,0.05901289597551677
b43_last,"[-1.0,-0.6)",-1.0,-0.6,64,-0.846550271846354,-1.176737909205258,0.36031091399490833,-0.3301876373589039,0.4318862031883905,0.6517867802213702,0.2989550584602136,0.28773106906340973,0.13197361649994896
b43_last,>=-0.6,-0.6,inf,24,-0.3887496345208395,-1.1173035775621731,0.7285539430413337,-0.7285539430413337,0.7933499902906898,0.4656683171567162,0.28416243278875186,0.3100884160294518,0.18922369298507608
