population,metric,events,delta_final_minus_base,ci_lower,ci_upper
random,mae,1310,-0.00774938846842857,-0.00878521162474206,-0.006700927930248778
random,rmse,1310,-0.006993087555525801,-0.008682851276605045,-0.005258346116344545
normal_all,mae,1383,-0.0060092719830240615,-0.00646726002669782,-0.005522173295425348
normal_all,rmse,1383,-0.00949332305894618,-0.010405537642690435,-0.008499416753756322
normal_input,mae,1383,-0.0039322662074091075,-0.004235625131893564,-0.003602919086863907
normal_input,rmse,1383,-0.006774727740309683,-0.007447411875631782,-0.005972003885253897
normal_noninput,mae,1290,-0.01107085529875848,-0.012313057933858194,-0.009911931927171479
normal_noninput,rmse,1290,-0.014161463029137067,-0.015916623135619267,-0.012490213955583172
