Split,Events,Station records,Magnitude median,Magnitude max,Epicentral dist. median km,PGA median m/s2,PGA max m/s2
Train,699,30506,3.7,7.6,110.03231938837072,0.02563120184512185,28.28191988136826
Validation,101,8544,4.0,6.0,108.7347976568904,0.02538842377536275,5.717597250856443
Test,201,13052,4.0,7.1,103.68030219054306,0.024112229902691802,5.744516597185888
