bin,n,label_mean,mae,bias,rmse
"[-3.50, -2.09]",1653,-2.442552680473074,0.25293799580333454,0.20163022815568188,0.3506319635767698
"[-2.09, -1.70]",1652,-1.8555854484619299,0.21640861484494972,0.11840284724897969,0.2886868193650778
"[-1.70, -1.44]",1652,-1.5721529924984994,0.18046500809833443,0.0650347309597468,0.24552157621641557
"[-1.44, -1.05]",1652,-1.2648689362962366,0.18308687837880114,-0.03076271088590922,0.24157954249200958
"[-1.05, 0.73]",1653,-0.6357728636019974,0.28403148469468137,-0.20107359022024593,0.38380762126791756
